,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
att3PT[2],-0.0056,0.2280,0.0042,0.0073,-0.4656,-0.1573,-0.0067,0.1406,0.4457,,,,,,,,,,,
att3PT[3],-0.0512,0.1269,0.0023,0.0076,-0.3031,-0.1357,-0.0496,0.0357,0.1953,,,,,,,,,,,
att3PT[4],-0.0335,0.1253,0.0023,0.0074,-0.2669,-0.1197,-0.0364,0.0503,0.2165,,,,,,,,,,,
att3PT[5],0.1573,0.1348,0.0025,0.0098,-0.0882,0.0603,0.1519,0.2487,0.4209,,,,,,,,,,,
att3PT[6],-0.0044,0.2225,0.0041,0.0065,-0.4756,-0.1326,-0.0039,0.1316,0.4445,,,,,,,,,,,
att3PT[7],0.0154,0.1227,0.0022,0.0074,-0.2344,-0.0662,0.0195,0.0951,0.2600,,,,,,,,,,,
att3PT[8],-0.2330,0.1381,0.0025,0.0081,-0.5067,-0.3282,-0.2306,-0.1383,0.0351,,,,,,,,,,,
att3PT[9],0.0261,0.1271,0.0023,0.0079,-0.2204,-0.0618,0.0247,0.1113,0.2812,,,,,,,,,,,
att3PT[10],0.0945,0.1258,0.0023,0.0089,-0.1554,0.0135,0.0916,0.1774,0.3431,,,,,,,,,,,
att3PT[11],0.0064,0.2232,0.0041,0.0066,-0.4428,-0.1289,0.0017,0.1496,0.4683,,,,,,,,,,,
att3PT[12],0.0016,0.1295,0.0024,0.0077,-0.2434,-0.0890,0.0000,0.0899,0.2569,,,,,,,,,,,
att3PT[13],-0.0089,0.2196,0.0040,0.0064,-0.4513,-0.1465,-0.0019,0.1283,0.4307,,,,,,,,,,,
att3PT[14],0.0077,0.2244,0.0041,0.0067,-0.4249,-0.1355,0.0020,0.1450,0.4855,,,,,,,,,,,
att3PT[15],-0.0090,0.2169,0.0040,0.0055,-0.4297,-0.1456,-0.0130,0.1245,0.4458,,,,,,,,,,,
att3PT[16],-0.0046,0.2272,0.0041,0.0068,-0.4435,-0.1457,-0.0061,0.1352,0.4709,,,,,,,,,,,
att3PT[17],-0.0111,0.2315,0.0042,0.0068,-0.4613,-0.1620,-0.0105,0.1387,0.4669,,,,,,,,,,,
att3PT[18],0.1370,0.1347,0.0025,0.0095,-0.1174,0.0465,0.1283,0.2204,0.4274,,,,,,,,,,,
att3PT[19],-0.0074,0.2251,0.0041,0.0066,-0.4851,-0.1458,-0.0044,0.1354,0.4136,,,,,,,,,,,
att3PT[20],0.2796,0.1487,0.0027,0.0125,0.0077,0.1762,0.2726,0.3764,0.6016,,,,,,,,,,,
att3PT[21],-0.3121,0.1445,0.0026,0.0087,-0.6201,-0.4053,-0.3113,-0.2126,-0.0358,,,,,,,,,,,
att3PT[22],0.2803,0.1316,0.0024,0.0098,0.0455,0.1885,0.2684,0.3654,0.5617,,,,,,,,,,,
att3PT[23],-0.3002,0.1400,0.0026,0.0082,-0.5810,-0.3952,-0.3005,-0.2032,-0.0348,,,,,,,,,,,
att3PT[24],0.0394,0.1262,0.0023,0.0078,-0.2040,-0.0423,0.0441,0.1226,0.2882,,,,,,,,,,,
att3PT[25],0.0705,0.1260,0.0023,0.0082,-0.1629,-0.0150,0.0657,0.1511,0.3390,,,,,,,,,,,
att3PT[26],0.0515,0.1230,0.0022,0.0076,-0.1835,-0.0317,0.0456,0.1359,0.3052,,,,,,,,,,,
att3PT[27],0.1084,0.1167,0.0021,0.0069,-0.1198,0.0255,0.1086,0.1885,0.3378,,,,,,,,,,,
att3PT[28],-0.0630,0.1318,0.0024,0.0082,-0.3144,-0.1518,-0.0637,0.0252,0.1969,,,,,,,,,,,
att3PT[29],-0.0154,0.2346,0.0043,0.0074,-0.4771,-0.1590,-0.0134,0.1295,0.4526,,,,,,,,,,,
att3PT[30],-0.2086,0.1364,0.0025,0.0082,-0.4890,-0.2977,-0.2041,-0.1135,0.0429,,,,,,,,,,,
def3PT[1],-0.0002,0.0744,0.0014,0.0032,-0.1484,-0.0459,-0.0005,0.0461,0.1554,,,,,,,,,,,
def3PT[2],-0.0192,0.0760,0.0014,0.0034,-0.1797,-0.0648,-0.0165,0.0295,0.1234,,,,,,,,,,,
def3PT[3],0.0011,0.0922,0.0017,0.0024,-0.1858,-0.0534,0.0036,0.0549,0.1781,,,,,,,,,,,
def3PT[4],-0.0290,0.0772,0.0014,0.0033,-0.1886,-0.0744,-0.0258,0.0190,0.1237,,,,,,,,,,,
def3PT[5],-0.0341,0.0772,0.0014,0.0038,-0.2019,-0.0794,-0.0335,0.0173,0.1138,,,,,,,,,,,
def3PT[6],-0.0189,0.0773,0.0014,0.0031,-0.1700,-0.0701,-0.0190,0.0318,0.1309,,,,,,,,,,,
def3PT[7],0.0322,0.0793,0.0014,0.0037,-0.1194,-0.0186,0.0298,0.0813,0.1973,,,,,,,,,,,
def3PT[8],-0.0494,0.0830,0.0015,0.0041,-0.2252,-0.1001,-0.0469,0.0044,0.1022,,,,,,,,,,,
def3PT[9],0.0199,0.0752,0.0014,0.0033,-0.1264,-0.0308,0.0199,0.0710,0.1659,,,,,,,,,,,
def3PT[10],-0.0386,0.0788,0.0014,0.0035,-0.2025,-0.0896,-0.0349,0.0142,0.1081,,,,,,,,,,,
def3PT[11],0.0082,0.0750,0.0014,0.0034,-0.1340,-0.0405,0.0063,0.0551,0.1656,,,,,,,,,,,
def3PT[12],-0.0071,0.0782,0.0014,0.0033,-0.1612,-0.0561,-0.0066,0.0426,0.1461,,,,,,,,,,,
